step,x_m,y_m,theta_deg,mode
1,0.2957106781186548,0.2957106781186548,2.7263109939062624,GOALSEEKING
2,0.3955974918910984,0.30046719306019976,350.80843663021744,GOALSEEKING
3,0.49431347153037625,0.2844936097471894,348.39345704333044,GOALSEEKING
4,0.5922686996194185,0.2643746313928167,145.21742679172542,GOALSEEKING
5,0.5101364239721005,0.3214210098667647,162.5092361571854,GOALSEEKING
6,0.41475988271828035,0.35147621538025836,153.663472211594,GOALSEEKING
7,0.3251395050220647,0.39584047916979603,117.30464120801572,GOALSEEKING
8,0.27926735153699395,0.4846984868823376,62.20539006706443,GOALSEEKING
9,0.3258976937206503,0.5731609715175494,48.44630300672738,GOALSEEKING
10,0.3922298607632952,0.647994410670288,44.051976361708995,GOALSEEKING
11,0.46410079467263504,0.7175254746561016,43.22914554125682,GOALSEEKING
12,0.5369628260553951,0.7860172579791959,43.705171982582975,GOALSEEKING
13,0.6092533038858319,0.8551120248942603,43.853887416645115,GOALSEEKING
14,0.6813641978284778,0.9243941941356497,29.745813983172194,GOALSEEKING
15,0.7681877043923482,0.9740095013296355,31.013576277921192,GOALSEEKING
16,0.8538922281905553,1.0255336180180614,24.057717793510413,GOALSEEKING
17,0.9452057543615688,1.0662992890933134,21.805427209365128,GOALSEEKING
18,1.0380508189377382,1.103444867347622,300.83636909865936,GOALSEEKING
19,1.0893096184883722,1.0175813974164112,285.66923139550784,GOALSEEKING
20,1.1163179613445595,0.921297705047648,280.349004604758,GOALSEEKING
21,1.134282327176865,0.8229245300442808,275.8460111598411,GOALSEEKING
22,1.1444678471485377,0.7234446065274894,138.11033038597836,GOALSEEKING
23,1.0700246527645088,0.7902144411079471,90.80861610469437,GOALSEEKING
24,1.068613398272715,0.8902044824158666,78.68719542492238,GOALSEEKING
25,1.0882299271794307,0.9882615667782516,74.05111496164632,GOALSEEKING
26,1.1157078953044777,1.0844122883965472,156.45521668266124,GOALSEEKING
27,1.02403308275418,1.1243588620151665,168.60094889204748,GOALSEEKING
28,0.9260056379593877,1.144122972594802,176.84801871071852,GOALSEEKING
29,0.8261569182918718,1.1496214433601952,181.00084431575493,GOALSEEKING
30,0.7261721745051115,1.1478747293321092,176.87604673589942,GOALSEEKING
31,0.6263207770353213,1.1533243553128527,175.769732103855,GOALSEEKING
32,0.5265932122157135,1.1607008595764545,169.4131716985749,GOALSEEKING
33,0.42829545104960937,1.1790733974994398,149.58637159397034,GOALSEEKING
34,0.34205612311601996,1.2296972882780322,117.55105456269945,GOALSEEKING
35,0.29580224124095245,1.318357191342988,108.2056290741334,GOALSEEKING
36,0.2645594164567039,1.4133513274751766,31.03112724484735,GOALSEEKING
37,0.35024815325548597,1.4649016949406857,32.673324236693205,GOALSEEKING
38,0.4344243748320672,1.51888654208403,20.21395567806274,GOALSEEKING
39,0.5282652638085333,1.5534392200715108,13.100672775276934,GOALSEEKING
40,0.6256625943925016,1.5761054944702115,5.771325393844726,GOALSEEKING
41,0.7251557103429591,1.5861613324993775,2.5309703213080996,GOALSEEKING
42,0.8250581601297803,1.590577272556908,0.6985311686619943,GOALSEEKING
43,0.9250507283824017,1.5917964092370533,359.89497983465066,GOALSEEKING
44,1.0250505603975906,1.591613114573055,359.67319958903204,GOALSEEKING
45,1.1250489337676934,1.591042743348858,359.70654385401355,GOALSEEKING
46,1.2250476221411128,1.5905305679923782,359.8103052152698,GOALSEEKING
47,1.325047074072256,1.5901994887404867,359.9034797636445,GOALSEEKING
48,1.4250469321791193,1.5900310292282434,359.95686078690994,GOALSEEKING
49,1.5250469038345962,1.5899557371048432,359.9892221234656,GOALSEEKING
50,1.5900000139324921,1.5899435188120585,0.03904473902949616,GOALSEEKING
